reference	citation	year	month	day	date type	note	evidence	evidence note
42	"Sourisseau, T., et al. Aurora-A expressing tumour cells are deficient for homology-directed DNA double strand-break repair and sensitive to PARP inhibition. EMBO Mol Med 2, 130-142 (2010)."	2010	4	1	pub date		Preclinical	Study objects were cancer cell lines
43	"Mazur, P.K., et al. Combined inhibition of BET family proteins and histone deacetylases as a potential epigenetics-based therapy for pancreatic ductal adenocarcinoma. Nature medicine 21, 1163-1171 (2015)."	2015	9	21	epub date		Preclinical	"Tested efficacy of JQ1 on PDAC development in mice, though the authors note that similar inhibitors to JQ1 are currently in clinical trials"
44	"Wu, X., et al. BRD4 Regulates EZH2 Transcription through Upregulation of C-MYC and Represents a Novel Therapeutic Target in Bladder Cancer. Molecular cancer therapeutics 15, 1029-1042 (2016)."	2016	3	3	epub date		Preclinical	Studied BRD4 inhibition in bladder cancer cell lines
45	"Gray, H.J., et al. Phase I combination study of the PARP inhibitor veliparib plus carboplatin and gemcitabine in patients with advanced ovarian cancer and other solid malignancies. Gynecologic oncology 148, 507-514 (2018)."	2018	1	17	epub date		Clinical trial	Phase 1 trial
46	"Somlo, G., et al. Efficacy of the PARP Inhibitor Veliparib with Carboplatin or as a Single Agent in Patients with Germline BRCA1- or BRCA2-Associated Metastatic Breast Cancer: California Cancer Consortium Trial NCT01149083. Clinical cancer research : an official journal of the American Association for Cancer Research 23, 4066-4076 (2017)."	2017	3	29	epub date		Clinical trial	Phase 1 & 2 data
47	"Toy, W., et al. Activating ESR1 Mutations Differentially Affect the Efficacy of ER Antagonists. Cancer discovery 7, 277-287 (2017)."	2016	12	16	epub date		Preclinical	"Characterized ESR1 variants in 900 patients; however, the testing of drug efficacy is actually cell line tests."
48	"Overman, M.J., et al. Durable Clinical Benefit With Nivolumab Plus Ipilimumab in DNA Mismatch Repair-Deficient/Microsatellite Instability-High Metastatic Colorectal Cancer. Journal of clinical oncology : official journal of the American Society of Clinical Oncology 36, 773-779 (2018)."	2018	1	20	epub date		Clinical trial	CHECKMATE trial
49	"Gong, J., Wang, C., Lee, P.P., Chu, P. & Fakih, M. Response to PD-1 Blockade in Microsatellite Stable Metastatic Colorectal Cancer Harboring a POLE Mutation. Journal of the National Comprehensive Cancer Network : JNCCN 15, 142-147 (2017)."	2017	2	1	epub date	no day listed	Clinical evidence	Case report of response to IO
50	"Chang, L., Chang, M., Chang, H.M. & Chang, F. Microsatellite Instability: A Predictive Biomarker for Cancer Immunotherapy. Applied immunohistochemistry & molecular morphology : AIMM / official publication of the Society for Applied Immunohistochemistry 26, e15-e21 (2018)."	2018	2	1	pub date	no day listed	Clinical evidence	Review of MSI for IO. Cites FDA approval.
51	"Ang, C., et al. Clinical Benefit from Trametinib in a Patient with Appendiceal Adenocarcinoma with a GNAS R201H Mutation. Case reports in oncology 10, 548-552 (2017)."	2017	6	22	epub date		Clinical evidence	Case report
52	"Hamberg, P., Verweij, J. & Sleijfer, S. (Pre-)clinical pharmacology and activity of pazopanib, a novel multikinase angiogenesis inhibitor. The oncologist 15, 539-547 (2010)."	2010	5	28	epub date		Clinical trial	Review that cites phase1/2 data as well as preclinical data for pazopanib as an effective VEGFR inhibitor.
53	"Dabrafenib plus Trametinib Is Active in BRAF(V600E) Anaplastic Thyroid Cancer. Cancer discovery 8, 9 (2018)."	2017	11	10	epub date		Clinical trial	Clinical trial AACR
54	"Schreck, K.C., Guajardo, A., Lin, D.D.M., Eberhart, C.G. & Grossman, S.A. Concurrent BRAF/MEK Inhibitors in BRAF V600-Mutant High-Grade Primary Brain Tumors. Journal of the National Comprehensive Cancer Network : JNCCN 16, 343-347 (2018)."	2018	4	1	pub date	no day listed	Clinical evidence	Case report of two patients
55	"Marks, A.M., et al. Response to the BRAF/MEK inhibitors dabrafenib/trametinib in an adolescent with a BRAF V600E mutated anaplastic ganglioglioma intolerant to vemurafenib. Pediatric blood & cancer 65, e26969 (2018)."	2018	1	30	epub date		Clinical evidence	Case report
56	"Lavingia, V. & Fakih, M. Impressive response to dual BRAF and MEK inhibition in patients with BRAF mutant intrahepatic cholangiocarcinoma-2 case reports and a brief review. Journal of gastrointestinal oncology 7, E98-E102 (2016)."	2016	12	1	pub date	no day listed	Clinical evidence	Case report
57	"Chen, Y.W., et al. SMAD4 loss triggers the phenotypic changes of pancreatic ductal adenocarcinoma cells. BMC cancer 14, 181 (2014)."	2014	3	14	pub date		Preclinical	Preclinical study
58	"Ozawa, H., et al. SMAD4 Loss Is Associated with Cetuximab Resistance and Induction of MAPK/JNK Activation in Head and Neck Cancer Cells. Clinical cancer research : an official journal of the American Association for Cancer Research 23, 5162-5175 (2017)."	2017	5	18	epub date		Clinical evidence	Studied both patients and preclinical models
