	reference	citation	year	month	day	date type	note	evidence	evidence note	ids used
30	31	Kato, S., et al. Cyclin-dependent kinase pathway aberrations in diverse malignancies: clinical and molecular characteristics. Cell cycle 14, 1252-1259 (2015).								
31	32	Helsten, T., et al. Cell-Cycle Gene Alterations in 4,864 Tumors Analyzed by Next-Generation Sequencing: Implications for Targeted Therapeutics. Molecular cancer therapeutics 15, 1682-1690 (2016).								
32	33	Boon, E.M., et al. Sulindac targets nuclear beta-catenin accumulation and Wnt signalling in adenomas of patients with familial adenomatous polyposis and in human colorectal cancer cell lines. British journal of cancer 90, 224-229 (2004).								
33	34	Koornstra, J.J., et al. Sulindac inhibits beta-catenin expression in normal-appearing colon of hereditary nonpolyposis colorectal cancer and familial adenomatous polyposis patients. Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology 14, 1608-1612 (2005).								
34	35	Jacobsen, E., Shanmugam, V. & Jagannathan, J. Rosai-Dorfman Disease with Activating KRAS Mutation - Response to Cobimetinib. The New England journal of medicine 377, 2398-2399 (2017).								
35	36	Lee, M.S., et al. Efficacy of the combination of MEK and CDK4/6 inhibitors in vitro and in vivo in KRAS mutant colorectal cancer models. Oncotarget 7, 39595-39608 (2016).								
36	37	Von Hoff, D.D., et al. Inhibition of the hedgehog pathway in advanced basal-cell carcinoma. The New England journal of medicine 361, 1164-1172 (2009).								
37	38	Zhao, S., Wang, Y., Cao, L., Ouellette, M.M. & Freeman, J.W. Expression of oncogenic K-ras and loss of Smad4 cooperate to induce the expression of EGFR and to promote invasion of immortalized human pancreas ductal cells. International journal of cancer. Journal international du cancer 127, 2076-2087 (2010).								
38	39	Liu, J., et al. ErbB2 Pathway Activation upon Smad4 Loss Promotes Lung Tumor Growth and Metastasis. Cell reports (2015).								
39	40	Mok, T.S., et al. Osimertinib or Platinum-Pemetrexed in EGFR T790M-Positive Lung Cancer. The New England journal of medicine 376, 629-640 (2017).								
40	41	Nukaga, S., et al. Amplification of EGFR Wild-Type Alleles in Non-Small Cell Lung Cancer Cells Confers Acquired Resistance to Mutation-Selective EGFR Tyrosine Kinase Inhibitors. Cancer research 77, 2078-2089 (2017).								
41	42	Sourisseau, T., et al. Aurora-A expressing tumour cells are deficient for homology-directed DNA double strand-break repair and sensitive to PARP inhibition. EMBO Mol Med 2, 130-142 (2010).								
42	43	Mazur, P.K., et al. Combined inhibition of BET family proteins and histone deacetylases as a potential epigenetics-based therapy for pancreatic ductal adenocarcinoma. Nature medicine 21, 1163-1171 (2015).								
43	44	Wu, X., et al. BRD4 Regulates EZH2 Transcription through Upregulation of C-MYC and Represents a Novel Therapeutic Target in Bladder Cancer. Molecular cancer therapeutics 15, 1029-1042 (2016).								
44	45	Gray, H.J., et al. Phase I combination study of the PARP inhibitor veliparib plus carboplatin and gemcitabine in patients with advanced ovarian cancer and other solid malignancies. Gynecologic oncology 148, 507-514 (2018).								
45	46	Somlo, G., et al. Efficacy of the PARP Inhibitor Veliparib with Carboplatin or as a Single Agent in Patients with Germline BRCA1- or BRCA2-Associated Metastatic Breast Cancer: California Cancer Consortium Trial NCT01149083. Clinical cancer research : an official journal of the American Association for Cancer Research 23, 4066-4076 (2017).								
46	47	Toy, W., et al. Activating ESR1 Mutations Differentially Affect the Efficacy of ER Antagonists. Cancer discovery 7, 277-287 (2017).								
47	48	Overman, M.J., et al. Durable Clinical Benefit With Nivolumab Plus Ipilimumab in DNA Mismatch Repair-Deficient/Microsatellite Instability-High Metastatic Colorectal Cancer. Journal of clinical oncology : official journal of the American Society of Clinical Oncology 36, 773-779 (2018).								
48	49	Gong, J., Wang, C., Lee, P.P., Chu, P. & Fakih, M. Response to PD-1 Blockade in Microsatellite Stable Metastatic Colorectal Cancer Harboring a POLE Mutation. Journal of the National Comprehensive Cancer Network : JNCCN 15, 142-147 (2017).								
49	50	Chang, L., Chang, M., Chang, H.M. & Chang, F. Microsatellite Instability: A Predictive Biomarker for Cancer Immunotherapy. Applied immunohistochemistry & molecular morphology : AIMM / official publication of the Society for Applied Immunohistochemistry 26, e15-e21 (2018).								
50	51	Ang, C., et al. Clinical Benefit from Trametinib in a Patient with Appendiceal Adenocarcinoma with a GNAS R201H Mutation. Case reports in oncology 10, 548-552 (2017).								
51	52	Hamberg, P., Verweij, J. & Sleijfer, S. (Pre-)clinical pharmacology and activity of pazopanib, a novel multikinase angiogenesis inhibitor. The oncologist 15, 539-547 (2010).								
52	53	Dabrafenib plus Trametinib Is Active in BRAF(V600E) Anaplastic Thyroid Cancer. Cancer discovery 8, 9 (2018).								
53	54	Schreck, K.C., Guajardo, A., Lin, D.D.M., Eberhart, C.G. & Grossman, S.A. Concurrent BRAF/MEK Inhibitors in BRAF V600-Mutant High-Grade Primary Brain Tumors. Journal of the National Comprehensive Cancer Network : JNCCN 16, 343-347 (2018).								
54	55	Marks, A.M., et al. Response to the BRAF/MEK inhibitors dabrafenib/trametinib in an adolescent with a BRAF V600E mutated anaplastic ganglioglioma intolerant to vemurafenib. Pediatric blood & cancer 65, e26969 (2018).								
55	56	Lavingia, V. & Fakih, M. Impressive response to dual BRAF and MEK inhibition in patients with BRAF mutant intrahepatic cholangiocarcinoma-2 case reports and a brief review. Journal of gastrointestinal oncology 7, E98-E102 (2016).								
56	57	Chen, Y.W., et al. SMAD4 loss triggers the phenotypic changes of pancreatic ductal adenocarcinoma cells. BMC cancer 14, 181 (2014).								
57	58	Ozawa, H., et al. SMAD4 Loss Is Associated with Cetuximab Resistance and Induction of MAPK/JNK Activation in Head and Neck Cancer Cells. Clinical cancer research : an official journal of the American Association for Cancer Research 23, 5162-5175 (2017).								
