gene	CIViC	MOAlmanac	OncoKB
GNAQ	1	0	0
GNAS	1	0	0
GSTP1	1	0	0
H3-3A	1	0	0
H3-3B	1	0	0
H3C2	1	0	0
HAVCR2	1	0	0
HDAC2	1	0	0
HGF	1	0	0
HIF1A	1	0	0
HIF1a	0	1	0
HLA-C	1	0	0
HLA-DRA	1	0	0
HMGA2	1	0	0
HMOX1	1	0	0
HOXB13	1	0	0
HOXD8	1	0	0
HRAS	1	0	1
HSPA5	1	0	0
HSPB1	1	0	0
HSPH1	1	0	0
ID3	0	0	1
IDH1	1	1	1
IDH2	1	1	1
IGF1R	1	0	0
IGF2	1	0	0
IGH	0	1	0
IKZF1	1	0	1
IL12RB1	0	1	0
IL2RB	1	0	0
IL3	0	0	1
IL33	1	0	0
IL6	1	0	0
IL7R	1	0	1
IRF4	0	0	1
IRS2	1	0	0
JAK1	1	1	1
JAK2	1	1	1
JAK3	1	1	1
JUN	1	0	0
KDM5C	1	0	0
KDM6A	1	0	1
KDR	1	0	0
KEAP1	0	1	0
KIF23	1	0	0
KIT	1	1	1
KLF2	0	0	1
KLLN	1	0	0
KMT2A	1	0	1
KMT2C	1	0	0
KMT2D	1	0	1
KRAS	1	1	1
KRT18	1	0	0
LAG3	1	0	0
LEPR	1	0	0
LIMK2	0	1	0
LMO2	0	0	1
LRP1B	1	0	0
LYN	1	0	0
LZTR1	1	0	0
MAEA	1	0	0
MAF	0	0	1
MAFB	0	0	1
MAGEH1	1	0	0
MALT1	0	0	1
MAP2K1	1	1	1
MAP2K2	1	1	1
MAP2K7	1	0	0
MAPK1	1	1	0
MBD4	1	0	0
MC1R	0	1	0
MDM2	1	1	0
MDM4	1	0	0
MECOM	1	0	0
MEF2B	0	0	1
MEF2D	1	0	0
MEN1	1	0	0
MERTK	1	0	0
MET	1	1	1
MGMT	1	0	0
MIR17HG	0	1	0
MIR21	1	0	0
MIR218-1	1	0	0
MITF	1	0	0
MKI67	1	0	0
MLH1	1	1	0
MLH3	0	1	0
MLLT10	0	0	1
MMP2	1	0	0
MMP9	1	0	0
MN1	1	0	0
MPL	1	1	1
MRE11	1	1	0
MSH2	1	1	0
MSH6	1	1	0
MTAP	1	0	0
MTHFR	1	0	0
MTOR	1	1	1
MYB	1	0	0
MYC	1	1	1
MYCL	1	0	0
MYCN	1	0	0
MYD88	1	0	1
MYH	0	1	0
MYOD1	1	0	0
NAPRT	1	0	0
NBN	1	0	0
NCOA2	1	0	0
NCOA3	1	0	0
NECTIN4	1	0	0
NEDD9	1	0	0
NF1	1	1	1
NF2	1	0	0
NFE2L2	1	1	0
NOTCH1	1	0	1
NOTCH2	0	0	1
NOTCH3	1	0	0
NPM1	1	0	1
NQO1	1	0	0
NR2F2	1	0	0
NRAS	1	1	1
NRG1	1	0	0
NSD2	0	1	0
NT5C2	1	0	0
NT5E	1	0	0
NTRK1	1	1	1
NTRK2	1	1	1
NTRK3	1	1	1
NUDT15	1	0	0
NUP98	1	0	0
PAK1	0	1	0
PALB2	1	1	1
PAPPA2	1	0	0
PARP1	1	0	0
PAX5	1	0	0
PAX8	1	0	0
PBK	1	0	0
PBLD	1	0	0
PBRM1	1	1	0
PCNA	1	0	0
PDCD1LG2	1	0	1
PDCD4	1	0	0
PDGFB	1	1	1
PDGFRA	1	1	1
PDGFRB	1	1	1
PGR	1	0	0
PHF6	0	0	1
PIK3CA	1	1	1
PIK3CB	0	1	0
PIK3R1	1	0	0
PIK3R2	1	0	0
PIM1	1	0	0
PLCG2	1	0	0
PLK1	1	0	0
PML	1	0	0
PMS2	1	1	0
POLD1	1	1	0
POLE	1	1	0
POLE2	0	1	0
POLE4	1	0	0
POT1	1	1	0
POU5F1	1	0	0
PPARGC1A	0	1	0
PPM1D	0	0	1
PPP1R15A	1	0	0
PRDM1	1	0	0
PREX2	1	0	0
PRKAA2	1	0	0
PRKACA	1	0	0
PRKAR1A	1	0	0
PRKCB	1	0	0
PRKN	1	0	0
PRNCR1	1	0	0
PROM1	1	0	0
PRPF8	0	1	0
PRPS1	1	0	0
PSMB8	1	0	0
PSMD4	1	0	0
PTCH1	1	0	1
PTEN	1	1	1
PTGS2	1	0	0
PTK2B	1	0	0
PTP4A3	1	0	0
PTPN11	1	1	1
PTPN12	1	0	0
PTPN6	1	0	0
PTPRB	1	0	0
PTPRD	1	0	0
PTPRF	1	0	0
PTPRT	1	0	0
PTTG1	1	0	0
PXDNL	1	0	0
RABL3	1	0	0
RAC1	1	0	0
RAD17	0	1	0
RAD23B	1	0	0
RAD50	1	1	0
RAD51B	0	1	1
RAD51C	0	1	1
RAD51D	1	1	1
RAD54L	0	1	1
RAF1	1	1	1
RARA	0	0	1
RASA1	1	0	0
RB1	1	1	0
RBM10	0	1	0
RBM15	1	0	1
RCSD1	1	0	0
REL	1	0	0
RELA	1	0	0
RELN	0	0	1
RET	1	1	1
RHEB	1	0	0
RHOA	1	0	1
RICTOR	1	0	0
RIT1	1	0	0
ROBO4	1	0	0
ROS1	1	1	1
RPS6	1	0	0
RRM1	1	0	0
RRM2	1	0	0
RSF1	1	0	0
RUNX1	1	1	1
RUNX1T1	0	1	0
SCN8A	1	0	0
SDHA	1	0	0
SDHB	1	0	0
SETBP1	1	1	1
SF3B1	1	1	1
SGK1	1	0	0
SH2B3	1	0	1
SIRT1	1	0	0
SLC45A3	0	1	0
SLCO1B1	1	0	0
SLFN11	1	0	0
SMAD4	1	0	0
SMARCA4	1	1	0
SMARCB1	1	0	1
SMO	1	0	0
SOCS1	0	0	1
SOX10	1	0	0
SPHK1	1	0	0
SPRY2	1	0	0
SRSF2	1	0	1
SSX1	1	0	0
SSX2	1	0	0
SSX4	1	0	0
STAG2	1	1	1
STAG3	1	0	0
STAT1	1	0	0
STAT3	1	0	1
STAT5B	1	0	1
STAT6	1	0	0
STK11	1	0	0
STMN1	1	0	0
SUFU	1	0	0
SULT1E1	1	0	0
SUZ12	0	0	1
SYK	1	0	0
TACC3	0	1	0
TACSTD2	1	0	0
TAL1	0	0	1
TAP2	0	1	0
TBK1	1	0	0
TCF3	0	0	1
TCL1A	0	0	1
TCL1B	0	0	1
TEK	1	0	0
TERT	1	0	0
TET2	1	1	1
TFF3	1	0	0
TGFA	1	0	0
TGFBR3	1	0	0
THBS2	1	0	0
TIMP1	1	0	0
TLK2	1	0	0
TLX1	0	0	1
TLX3	1	0	1
TMPRSS2	1	1	0
TNFAIP3	0	0	1
TNFRSF14	0	0	1
TOP1	1	0	0
TOP2A	1	0	0
TP53	1	1	1
TP53BP1	1	0	0
TP63	0	0	1
TPT1	1	0	0
TPX2	0	1	0
TRA	0	0	1
TRB	0	0	1
TRD	0	0	1
TRG	0	0	1
TSC1	1	1	1
TSC2	1	1	1
TSPYL1	1	0	0
TTF1	1	0	0
TUBB3	1	0	0
TYK2	0	0	1
TYMS	1	0	0
U2AF1	1	0	1
UGT1A	1	0	0
UGT1A1	1	0	0
VEGFA	1	0	0
VEGFC	1	0	0
VHL	1	0	0
VPS37A	1	0	0
WDR12	1	0	0
WEE1	1	0	0
WNT11	1	0	0
WT1	1	0	1
WWTR1	1	0	0
XRCC1	1	0	0
YAP1	1	0	0
ZEB1	1	0	0
ZRSR2	1	1	1
