pmid	CIViC	MOAlmanac	OncoKB
11423618	0	1	0
11433531	1	0	0
11483638	1	0	0
11504908	1	0	0
11505222	1	0	0
11524732	1	0	0
11535556	1	0	0
11536052	1	0	0
11546565	1	0	0
11585760	1	0	0
11587205	1	0	0
11595686	1	0	0
11607825	1	0	0
11675361	1	0	0
11704842	1	0	0
11751510	1	0	0
11782370	1	0	0
11792751	1	0	0
11793370	1	0	0
11830488	1	0	0
11835384	1	0	0
11850829	1	0	0
11850836	1	0	0
11990703	1	0	0
11996788	1	0	0
12000708	1	0	0
12000816	1	0	0
12009017	1	0	0
12039929	1	0	0
12057554	1	0	0
12060124	1	0	0
12075054	1	0	0
12081237	1	0	0
12097271	1	0	0
12101426	1	0	0
12114494	1	0	0
12114495	1	0	0
12181401	0	0	1
12181402	0	0	1
12200353	0	0	1
12202531	1	0	0
12208738	0	0	1
12237773	1	0	0
12239584	1	0	0
12357354	1	0	0
12393546	1	0	0
12405390	1	0	0
12414898	1	0	0
12415268	1	0	0
12432043	1	0	0
12433709	1	0	0
12476305	1	0	0
12483530	1	0	0
12497061	0	0	1
12500216	1	0	0
12509970	1	0	0
12517791	1	0	0
12531801	0	1	0
12531805	1	0	0
12559175	1	0	0
12603429	1	0	0
12606942	1	0	0
12623848	1	0	0
12624160	1	0	0
12637609	0	0	1
12644949	1	0	0
12660384	1	0	1
12673678	1	0	0
12676775	0	0	1
12702509	1	0	0
12717436	1	0	0
12727991	1	0	0
12748244	1	0	0
12777976	1	0	0
12788868	1	0	0
12789263	1	0	0
12795343	1	0	0
12807974	1	0	0
12840112	1	0	0
12844285	1	0	0
12865922	1	0	0
12944919	1	1	1
12949711	1	0	1
14504092	1	0	1
14514923	1	0	0
14583498	1	0	0
14612939	1	0	0
14617784	0	1	0
14645423	1	0	0
14647410	1	0	0
14654525	1	0	0
14679114	1	0	0
14715079	1	0	0
14722919	1	0	0
14726385	1	0	0
14726387	1	0	0
14726504	1	0	0
14737077	1	0	0
14743206	1	0	0
14755727	1	0	0
14767570	1	0	0
14967075	1	0	0
14977831	1	0	0
14991904	0	0	1
14993230	1	0	0
15002726	1	0	0
15021901	1	0	0
15034867	0	0	1
15035987	1	0	0
15109448	1	0	0
15118072	1	0	0
15118073	1	0	0
15118125	1	0	0
15138475	1	0	0
15146165	1	0	0
15173008	1	0	0
15187030	1	0	0
15194504	1	0	0
15201427	1	0	0
15217946	1	0	0
15217961	1	0	0
15256420	1	0	0
15256671	1	0	0
15300251	1	0	0
15300849	1	0	0
15304385	1	0	0
15310767	1	0	0
15324695	1	0	0
15328187	1	0	0
15329413	1	0	0
15339850	1	0	0
15363456	1	0	0
15374944	1	0	0
15383938	1	0	0
15448205	1	0	0
15452453	1	0	0
15459012	1	0	0
15467305	1	0	0
15486187	1	0	0
15503291	0	0	1
15550452	1	0	0
15555571	1	0	0
15581051	1	0	0
15597105	1	0	0
15626738	1	0	0
15630448	1	0	0
15642680	1	0	0
15647370	1	0	0
15650049	1	0	0
15659725	1	0	0
15677699	0	0	1
15681532	0	0	1
15685537	0	0	1
15696205	1	0	0
15705718	1	0	0
15709172	1	0	0
15726096	1	0	0
15728811	1	0	0
15730575	1	0	0
15735013	0	1	0
15737014	1	0	0
15746584	0	0	1
15746676	1	0	0
15758010	1	0	0
15781657	1	0	0
15790433	1	0	0
15791648	1	0	0
15824158	1	0	0
15858187	0	1	0
15870435	1	0	0
15897572	1	0	0
15899789	1	0	0
15900596	1	0	0
15911866	1	0	0
15921386	1	0	0
15922892	1	0	0
15928335	1	0	1
15930265	1	0	1
15932632	1	0	0
15951308	1	0	0
15961768	1	0	0
15998907	1	1	0
16014883	1	0	0
16033819	1	0	0
16042317	1	0	0
16043828	1	0	0
16046528	1	0	0
16046538	1	0	0
16049031	1	0	0
16051734	1	0	0
16076867	1	0	0
16081687	1	0	0
16088935	1	0	0
16091755	1	0	1
16142346	1	0	0
16143141	1	0	0
16150941	1	0	0
16187797	1	0	0
16205628	1	0	0
16210343	1	0	0
16236737	1	0	0
16236738	0	0	1
16243825	1	0	0
16254181	1	0	0
16258095	1	0	0
16258512	1	0	0
16261628	1	0	0
16273091	1	0	1
16282176	1	0	0
16307009	1	0	0
16307017	1	0	0
16309541	1	0	0
16341243	1	0	0
16381215	1	0	0
16384925	1	0	0
16391622	1	0	0
16404430	1	0	0
16407879	1	0	0
16424035	1	0	0
16434489	1	0	0
16434492	1	0	0
16454808	1	0	0
16455956	1	0	0
16467086	1	0	0
16467099	1	0	0
16487996	1	0	0
16488999	1	0	0
16489069	1	0	0
16490522	1	0	0
16492679	1	0	0
16497822	1	0	0
16497971	1	0	0
16498388	0	0	1
16502427	1	0	0
16506495	1	0	0
16533790	1	0	0
16541434	1	0	0
16551858	1	0	1
16572651	1	0	0
16595991	1	0	0
16614245	1	0	0
16617601	1	0	0
16618717	1	0	0
16624552	1	0	0
16638875	1	0	0
16651847	1	0	0
16690963	1	0	0
16707605	1	0	0
16709929	1	0	0
16715139	1	0	0
16730237	1	0	0
16741161	1	0	0
16751810	1	0	0
16772610	1	0	0
16775234	1	0	0
16807441	1	0	0
16818618	1	0	0
16818686	1	0	0
16834459	1	0	0
16845659	0	0	1
16870919	1	0	0
16875718	1	0	0
16884327	1	0	0
16906227	1	0	0
16937357	1	0	0
16943533	1	0	0
16953233	1	0	0
16954519	1	0	1
16960151	1	0	1
16969076	1	0	0
16980606	1	0	0
16990784	0	1	0
17001110	1	0	0
17004871	1	0	0
17006605	1	0	0
17020971	1	0	0
17020982	1	0	0
17024664	1	0	0
17028100	1	0	0
17046465	0	0	1
17070615	1	0	0
17085664	1	0	1
17087936	0	0	1
17088436	1	0	0
17102069	1	0	0
17102088	1	0	0
17103226	1	0	0
17105346	1	0	0
17131328	1	0	0
17172831	1	0	0
17177598	1	0	0
17186357	1	0	0
17192538	1	0	1
17192902	0	0	1
17202311	1	0	0
17215851	1	0	0
17224927	1	0	0
17229776	1	0	0
17237811	0	1	0
17264095	1	0	0
17264298	1	0	0
17285735	0	0	1
17330097	1	0	0
17339191	1	0	1
17356712	1	0	0
17363498	1	0	0
17363584	1	0	0
17372901	1	0	0
17375050	1	0	0
17376864	1	0	0
17384584	1	0	0
17392848	1	0	0
17398248	1	0	0
17406817	1	0	0
17409929	1	0	0
17442989	1	0	0
17463250	1	0	1
17470858	1	0	0
17496201	0	0	1
17522398	1	0	0
17537157	1	0	0
17538160	1	0	0
17545544	0	0	1
17551084	1	0	0
17555450	0	0	1
17575221	1	0	0
17590872	1	0	0
17618013	1	0	0
17625570	1	0	0
17627612	1	0	0
17639058	1	0	0
17646409	1	0	0
17661816	1	0	0
17671205	1	0	0
17686547	0	0	1
17690703	1	0	0
17699867	1	0	1
17700571	1	0	0
17768119	0	0	1
17854663	1	0	0
17877814	1	0	0
17891190	1	0	0
17909070	1	0	0
17911174	1	0	0
17922902	1	0	0
17936563	1	0	0
17940205	1	0	0
17947469	1	0	0
17957027	1	0	0
17965322	1	0	0
17998284	1	0	0
18003960	1	0	0
18067796	1	0	0
18073307	1	0	0
18089725	1	0	0
18089823	1	0	0
18093943	0	0	1
18172275	1	0	0
18182667	1	0	0
18191450	1	0	0
18202412	1	0	0
18227510	1	0	0
18230792	1	0	1
18235122	0	0	1
18251729	1	0	0
18281551	1	0	0
18287029	1	0	0
18302711	0	1	0
18316791	1	0	1
18334972	0	0	1
18371219	1	0	0
18375819	1	0	0
18386816	1	0	0
18390968	1	1	0
18391746	1	0	0
18394554	1	0	0
18403620	0	0	1
18408761	1	0	0
18416845	1	0	0
18421059	1	0	0
18445659	1	0	0
18445843	1	0	0
18450602	1	0	0
18451166	1	0	0
18451237	0	0	1
18458053	1	0	0
18464292	1	0	0
18474773	1	0	0
18475055	1	0	0
18478040	1	0	0
18509184	1	0	0
18510589	1	0	0
18519791	1	0	0
18528420	1	0	0
18555254	1	0	0
18559874	1	0	0
18584357	1	0	0
18591546	1	0	0
18593892	1	0	0
18593940	1	0	0
18594010	1	0	0
18607592	1	0	0
18618714	1	0	0
18628482	1	0	0
18632602	1	1	0
18669866	1	0	0
18676761	0	0	1
18682506	1	0	0
18689542	1	0	0
18704422	1	0	0
18723428	1	0	0
18724359	1	0	0
18725974	1	0	0
18757403	1	0	0
18765795	1	0	0
18772396	1	0	0
18787170	1	1	0
18794081	1	0	0
18794084	1	0	1
18794099	1	0	0
18794803	1	0	0
18818391	1	0	0
18829482	0	1	0
18829560	1	0	0
18832571	1	0	0
18923525	1	0	0
18927303	1	0	0
18946061	1	0	0
18948947	1	0	0
18950453	0	0	1
18951446	1	0	0
18955451	1	0	1
18955458	1	0	1
18974108	1	0	0
18986703	1	0	0
18998488	1	0	0
19001320	1	0	0
19010870	1	0	0
19010894	1	0	0
19010912	1	0	0
19017755	1	0	0
19020901	1	0	0
19024596	1	0	0
19029228	1	0	0
19029981	1	0	0
19035443	1	0	0
19039322	1	0	0
19040416	1	0	0
19047294	1	0	0
19059939	1	0	0
19060236	1	0	0
19060928	0	0	1
19062180	1	0	0
19075190	1	0	0
19075254	1	0	1
19075596	1	0	0
19083227	0	1	0
19096302	1	0	0
19114683	1	0	0
19118063	1	0	0
19122144	1	0	0
19129520	1	0	0
19133167	1	0	0
19147750	1	0	0
19157502	1	0	0
19157633	1	0	0
19164557	1	0	0
19165201	1	0	0
19197950	1	0	0
19208735	1	0	0
19212337	1	0	0
19215943	1	0	0
19221039	1	0	0
19223544	1	0	0
19228619	1	0	0
19228746	1	0	0
19270817	1	0	0
19273710	1	0	0
19274060	1	0	0
19280651	1	0	0
19284554	1	0	0
19287384	1	0	0
19288063	1	0	0
19289619	1	0	0
19304957	1	0	0
19307944	1	0	0
19318574	1	0	0
19318576	0	1	0
19322212	1	0	0
19336503	1	0	0
19339720	1	0	1
19343621	1	0	0
19351816	1	0	0
19357394	1	0	0
19366796	1	0	0
19381019	1	0	0
19391130	1	0	0
19415739	1	0	0
19434073	1	0	0
19458078	1	0	0
19461405	1	0	0
19464396	1	0	0
19470925	1	0	0
19470935	1	0	0
19472011	1	0	0
19487385	1	0	0
19488864	1	0	0
19513541	1	0	0
19528532	1	0	0
19533750	1	0	0
19536777	0	0	1
19536888	1	0	0
19541609	1	0	0
19543324	1	0	0
19553641	1	0	0
19561568	1	0	0
19571295	1	0	0
19574279	1	0	0
19576851	1	0	0
19584151	1	0	0
19584866	0	0	1
19587375	1	0	0
19603018	1	0	0
19603024	1	0	0
19616740	0	1	0
19620561	0	0	1
19636007	1	0	0
19641190	1	0	0
19648970	1	0	0
19649731	1	0	0
19650409	1	0	0
19652056	1	0	0
19661358	1	0	0
19666869	1	0	0
19667267	1	0	0
19671763	1	0	0
19671843	1	0	0
19671852	1	0	0
19679400	1	0	0
19692680	1	0	1
19706758	1	0	0
19718025	1	0	0
19723655	1	0	0
19726763	1	0	0
19726788	1	0	0
19734639	1	0	0
19737969	1	0	0
19755855	1	0	0
19770381	1	0	0
19775480	1	0	0
19779040	1	0	1
19786658	0	0	1
19786660	1	0	0
19794967	1	0	0
19808854	1	0	0
19838194	1	0	0
19840887	1	0	0
19861442	1	0	0
19874578	1	0	1
19878872	1	0	1
19880792	1	0	0
19884556	1	0	0
19901104	1	0	0
19903786	1	0	0
19906784	1	0	0
19915144	1	1	0
19917135	1	0	0
19922504	1	0	0
19933982	1	0	0
19934290	1	0	0
19941080	1	0	0
19954345	1	0	0
19958924	1	0	0
19965647	1	0	0
19966866	1	0	0
20007775	1	0	0
20008640	1	0	0
20008851	1	0	0
20010090	1	0	0
20018760	1	0	0
20022809	1	0	1
20026798	1	0	0
20034980	1	0	0
20038723	1	0	0
20043176	1	0	0
20054396	1	0	0
20064270	1	0	0
20068183	1	0	0
20075572	0	0	1
20081860	1	0	0
20085938	1	0	0
20088873	1	0	0
20088962	1	0	0
20118737	1	0	0
20120764	1	0	0
20124187	1	1	0
20124459	1	0	0
20127344	1	0	0
20131302	0	0	1
20139093	1	0	0
20141835	1	0	0
20142587	1	0	0
20142599	1	0	0
20147967	1	0	0
20149136	1	0	0
20151405	1	0	0
20157715	1	0	0
20165957	1	0	0
20179196	1	0	0
20193854	1	0	0
20219352	1	0	0
20227043	1	0	0
20308656	1	0	0
20332486	1	0	0
20336784	1	0	0
20354191	1	0	0
20363910	1	0	0
20368538	1	0	0
20368568	1	0	0
20376086	1	0	0
20406929	0	1	0
20421455	1	0	0
20439456	0	0	1
20442526	1	0	0
20445578	1	0	0
20447124	1	0	0
20453058	1	1	0
20459769	0	0	1
20473330	1	0	0
20493771	1	0	0
20494930	1	0	0
20498393	0	1	0
20504363	1	0	0
20518900	1	0	0
20522446	1	0	0
20525993	0	1	1
20525995	0	0	1
20526349	0	1	0
20530316	1	0	0
20533592	1	0	0
20535651	1	0	0
20537386	1	0	0
20538800	1	0	0
20542753	1	0	0
20543203	1	0	0
20551065	1	0	0
20556506	0	1	0
20560986	1	0	0
20567917	1	0	0
20570890	1	0	0
20571149	0	1	0
20571495	0	0	1
20573926	1	0	1
20578819	1	0	0
20583150	1	0	0
20601954	1	0	0
20609353	1	0	0
20619739	1	0	1
20625116	1	0	0
20628391	1	0	0
20630094	1	0	0
20651371	1	0	0
20660572	1	0	0
20693978	1	0	0
20696054	1	0	0
20697090	1	0	0
20728210	1	1	1
20733134	1	0	0
20739657	1	0	0
20798558	1	0	0
20805365	1	0	0
20806365	1	0	0
20807812	1	0	0
20813970	1	0	0
20818844	1	0	0
20823417	0	1	0
20826716	1	0	0
20840671	1	0	0
20843819	0	1	0
20846682	1	0	0
20850701	1	0	0
20871596	1	1	0
20921462	0	0	1
20921465	1	0	1
20940188	1	0	0
20942962	1	0	0
20951942	0	0	1
20952280	1	0	0
20956938	1	0	0
20960261	1	0	0
20966921	1	0	0
20970876	1	0	0
20975057	1	0	0
20978259	1	0	0
20979469	1	0	0
20979472	1	1	0
20979473	1	0	1
21030459	1	0	0
21041183	1	0	0
21045145	1	0	0
21048039	1	0	0
21067377	1	0	0
21098728	1	1	0
21102257	1	0	0
21103895	1	0	0
21107320	1	0	0
21107323	1	0	0
21119596	1	0	0
21119661	1	0	1
21123452	1	0	0
21128251	0	0	1
21132006	1	0	0
21135251	1	0	0
21156401	1	0	0
21160078	1	0	0
21163703	1	0	0
21166657	1	0	0
21170960	1	0	0
21172893	1	0	0
21177507	1	0	0
21181474	1	0	0
21185263	1	0	0
21187651	1	0	0
21189378	1	0	0
21190184	1	0	0
21204227	1	0	0
21205074	0	1	0
21227397	1	0	0
21228335	0	0	1
21258250	1	0	0
21258415	1	0	0
21273582	1	0	0
21274720	1	0	0
21278246	1	0	0
21294614	1	0	0
21309036	1	0	0
21309039	1	0	0
21314850	1	0	0
21317745	1	0	0
21331613	1	0	0
21343334	1	0	0
21343549	1	0	0
21343559	1	0	0
21343560	1	0	0
21345110	1	0	0
21351275	1	0	0
21358673	1	0	0
21362373	1	0	0
21364689	1	0	0
21365007	1	0	0
21367480	1	0	0
21383288	1	1	0
21383700	1	0	0
21384277	1	0	0
21390130	1	0	0
21391972	1	0	0
21415268	1	0	0
21415852	1	0	0
21422407	1	0	0
21422803	1	0	0
21430269	1	0	0
21449869	1	0	0
21458988	1	0	0
21461300	1	0	0
21461997	1	0	0
21463266	1	0	0
21467160	1	0	0
21470995	1	0	0
21474671	1	0	0
21482694	1	0	0
21483000	1	0	0
21494621	1	0	0
21502504	1	0	0
21502544	1	0	0
21505136	1	0	0
21508395	1	0	0
21519372	1	0	0
21523734	1	0	0
21528828	1	0	0
21531810	1	0	1
21536738	1	0	0
21537333	1	0	0
21547131	1	0	0
21558396	1	0	0
21562040	0	0	1
21575616	1	0	0
21575866	1	0	0
21576590	1	0	0
21576762	1	0	0
21584898	1	0	0
21594665	1	0	0
21594703	1	0	0
21596855	1	0	0
21603658	1	0	0
21606165	1	0	0
21610142	1	0	0
21613260	1	0	0
21623265	1	0	1
21625441	1	0	0
21639808	1	0	0
21641636	1	0	0
21642685	1	0	1
21642865	1	0	0
21653686	1	0	0
21663470	1	0	0
21666749	1	0	0
21670202	1	0	0
21670455	0	0	1
21673464	1	0	0
21685785	1	0	0
21690468	1	0	0
21709185	1	0	0
21714648	1	0	0
21716144	1	0	0
21719597	1	0	0
21730982	1	0	0
21732342	1	0	0
21741596	1	0	0
21747090	1	0	0
21764376	0	0	1
21783417	1	0	0
21787417	1	0	0
21791641	1	0	0
21796119	1	0	0
21817013	1	0	0
21818111	1	0	0
21828143	1	0	0
21838707	1	0	0
21840482	1	0	0
21841502	1	0	1
21847063	1	0	0
21853002	1	0	0
21862407	1	0	0
21862683	1	0	0
21865346	1	0	0
21876117	1	0	0
21882184	1	0	0
21883677	1	0	0
21889194	1	0	0
21890455	1	0	0
21892159	1	0	0
21900593	1	0	0
21920589	1	0	0
21926191	1	0	0
21926398	1	0	0
21931113	0	0	1
21933749	1	0	0
21948233	1	0	0
21953054	1	0	0
21964527	1	0	0
21969494	1	0	0
21969500	1	0	0
21972040	1	0	0
21985784	1	0	0
21993670	1	0	0
21993671	1	0	0
21995386	1	0	0
21997850	1	0	0
21998214	1	0	0
22004109	1	0	0
22005786	0	1	0
22016507	1	0	0
22025157	1	0	0
22025163	1	0	0
22031865	1	0	0
22033490	1	0	0
22034177	1	0	0
22034911	1	0	0
22038994	1	0	0
22038996	1	0	0
22046346	1	0	0
22048815	0	1	0
22052230	0	0	1
22056021	1	0	0
22072639	1	0	0
22077063	1	0	0
22081665	1	0	0
22085494	1	0	0
22089421	1	0	0
22090360	1	0	0
22101352	1	0	0
22105174	0	0	1
22112610	1	0	0
22114577	1	0	0
22124213	1	0	0
22133049	1	0	0
22136840	1	0	0
22139083	1	0	0
22139329	0	1	0
22145147	1	0	0
22149875	1	0	0
22152101	1	0	0
22156657	1	0	0
22162573	1	0	0
22169769	1	0	0
22180162	1	0	0
22180178	1	1	0
22180495	1	0	0
22187960	1	0	0
22190288	1	0	0
22190593	0	0	1
22194965	1	0	0
22199315	1	0	0
22203985	1	0	0
22205714	1	0	0
22207630	0	1	0
22210878	1	0	0
22215748	1	0	0
22215888	1	0	0
22235099	1	0	1
22237007	1	0	0
22238366	1	0	0
22241717	1	0	0
22241959	1	0	0
22246397	1	0	0
22247021	1	0	0
22252991	1	0	0
22256804	1	0	0
22257673	1	0	1
22261812	1	0	0
22262166	1	0	0
22265326	1	0	0
22270258	0	0	1
22270724	1	0	0
22274685	1	0	0
22277784	1	0	1
22281684	1	0	0
22285168	1	0	1
22286216	1	0	0
22291079	1	0	0
22292935	1	0	0
22294718	1	0	1
22296372	1	0	0
22301675	0	0	1
22302096	1	0	0
22325357	1	0	0
22328973	1	0	0
22333600	1	0	0
22343617	1	0	0
22356324	1	0	0
22357542	1	0	0
22357840	1	0	0
22368270	1	0	1
22370314	1	0	1
22371878	1	0	0
22374460	1	0	0
22377896	1	0	0
22383795	1	0	0
22389870	0	1	0
22389872	1	0	0
22392911	1	0	0
22393103	1	0	0
22395615	1	0	0
22398592	1	0	0
22417203	1	0	0
22418700	1	0	0
22422354	1	0	0
22425996	1	0	0
22426421	1	0	0
22430270	1	0	0
22431701	1	0	0
22438210	1	0	0
22439647	1	0	0
22440753	1	0	0
22448344	1	0	0
22452895	1	0	1
22452896	1	0	0
22462637	1	0	0
22470196	1	0	0
22479427	1	0	0
22490330	1	0	0
22492957	1	0	0
22493419	1	0	0
22504184	1	0	0
22516946	1	0	0
22541434	1	0	0
22544540	1	0	0
22547163	1	0	0
22550175	1	0	0
22551904	1	0	0
22565005	1	0	0
22566194	1	0	0
22573489	1	0	0
22586653	1	0	0
22586683	1	1	0
22588883	0	0	1
22591296	1	0	0
22591714	1	0	0
22596232	1	0	0
22608338	1	0	1
22614970	1	0	0
22616558	1	0	0
22619677	1	0	0
22621641	1	0	0
22623731	1	0	0
22628360	1	0	0
22650231	1	0	0
22658127	1	0	0
22663011	1	0	1
22670903	0	0	1
22670904	0	0	1
22678057	1	0	0
22682017	1	0	0
22683710	1	0	0
22698404	1	0	0
22699455	1	0	0
22711607	1	0	0
22713161	1	0	0
22718859	0	0	1
22722193	0	1	0
22722830	1	0	0
22734028	1	0	0
22735384	1	0	1
22740998	1	0	0
22745105	1	0	1
22753902	1	0	0
22766794	1	0	0
22773810	1	0	0
22777797	1	0	0
22797062	1	0	0
22798288	1	0	1
22802530	1	0	0
22805291	1	0	0
22805292	1	0	0
22808142	1	0	0
22810899	1	0	0
22837387	0	0	1
22842582	1	0	0
22858906	1	0	0
22869148	1	0	0
22875627	1	0	0
22875628	0	0	1
22890726	1	0	0
22895145	1	0	0
22895882	1	0	0
22896000	1	0	0
22896685	1	0	0
22897847	1	0	1
22899477	0	0	1
22901364	1	0	0
22906996	1	0	0
22912387	1	0	0
22918081	1	0	0
22923433	1	1	0
22931316	1	0	0
22946750	1	0	0
22948721	1	0	0
22955920	1	0	0
22961667	1	0	0
22980975	1	0	0
22982650	1	0	0
22982663	1	0	0
22983396	0	0	1
22983505	1	0	0
23002168	0	1	0
23006951	1	0	0
23014527	1	0	0
23018865	1	0	0
23020132	1	0	1
23020162	1	0	1
23029227	1	0	0
23031422	1	0	0
23038758	1	0	0
23051966	0	0	1
23056499	1	0	0
23060591	1	0	0
23079656	1	0	0
23082000	1	0	1
23084521	0	0	1
23086624	0	0	1
23086750	1	0	0
23094721	1	0	0
23099803	1	0	0
23111194	1	0	0
23122784	1	0	0
23140824	0	0	1
23143947	1	0	0
23153540	1	0	0
23158522	1	0	1
23171796	1	0	0
23177514	0	0	1
23177515	1	0	1
23181703	1	0	0
23182986	1	0	0
23188704	1	0	0
23190221	1	0	1
23200175	1	0	1
23203444	1	0	0
23204226	1	0	0
23213094	1	0	0
23218766	1	0	0
23220880	1	0	1
23222956	1	0	0
23224817	1	0	0
23231951	1	0	0
23237741	1	0	0
23238879	1	0	0
23239810	1	0	1
23248257	0	0	1
23252872	1	0	0
23265383	1	0	0
23265711	1	0	0
23270927	1	0	0
23278307	1	0	0
23280579	1	0	0
23287563	1	0	0
23288408	1	0	0
23291299	1	0	0
23298237	1	0	0
23300174	1	0	0
23313110	1	0	0
23322234	1	0	0
23325582	1	0	0
23327821	1	0	0
23328547	0	0	1
23329234	1	0	0
23333114	1	0	0
23334667	1	0	0
23340172	1	0	0
23341344	1	0	0
23344087	1	0	1
23344264	1	0	0
23346317	1	0	0
23348520	1	0	0
23371856	1	0	1
23374602	1	0	0
23377183	1	0	0
23377281	1	0	0
23382472	1	0	0
23384228	1	0	0
23387505	0	0	1
23390248	1	0	0
23392356	0	1	0
23393090	0	0	1
23394218	0	0	1
23397066	1	0	0
23400593	0	0	1
23400675	0	0	1
23403324	1	0	0
23404247	1	0	0
23404858	1	0	0
23406027	0	0	1
23406047	1	0	0
23407549	1	0	0
23407919	1	0	0
23414587	1	0	0
23415752	1	0	0
23427520	1	0	0
23429371	1	0	0
23430109	1	0	0
23430699	1	0	0
23431193	1	0	0
23434161	1	0	0
23434628	1	0	1
23434733	1	0	0
23435671	1	0	0
23435830	1	0	0
23444215	1	0	0
23453624	1	0	0
23455880	1	0	0
23456621	1	0	0
23456958	1	0	0
23463675	1	0	0
23470965	1	0	0
23480694	1	0	0
23489023	1	0	0
23497317	1	0	0
23502220	0	0	1
23502783	0	1	0
23506848	1	0	0
23515407	1	0	0
23515910	1	0	0
23524406	1	0	0
23530248	1	0	0
23533264	0	1	1
23533272	1	0	0
23538339	1	0	0
23538418	1	0	0
23539443	1	0	0
23549875	1	0	0
23551593	0	0	1
23558169	1	0	1
23558940	1	0	0
23558953	1	0	0
23559153	1	0	0
23565244	0	1	0
23565280	1	0	0
23568491	1	0	0
23569304	1	1	0
23569312	1	1	1
23569316	1	0	0
23578570	1	0	0
23579861	1	0	0
23582881	1	0	0
23583981	1	0	0
23584301	1	0	0
23585477	1	0	0
23585524	1	0	0
23598171	1	0	0
23612012	1	0	0
23619167	1	0	0
23619944	1	0	0
23620406	1	0	0
23620515	1	0	1
23626751	1	0	0
23630205	0	0	1
23632291	1	0	0
23632886	1	0	0
23635773	1	0	0
23639470	1	0	0
23645741	1	0	0
23652803	1	0	0
23656643	1	0	0
23658459	1	0	0
23670176	1	0	0
23673869	1	0	0
23674493	1	0	0
23677116	1	0	0
23696637	1	0	0
23698361	1	0	0
23706910	1	0	0
23715574	1	0	0
23724867	1	0	0
23724913	1	0	1
23724914	1	0	0
23729178	1	0	0
23729361	1	0	0
23729478	1	0	0
23733758	1	0	0
23741071	1	0	0
23746666	1	0	0
23749122	1	0	0
23752188	0	0	1
23761041	1	0	0
23764753	1	0	0
23766237	1	0	0
23774333	1	0	0
23775962	1	0	1
23779130	1	0	0
23786770	1	0	0
23792563	1	0	0
23793026	1	0	0
23797736	1	0	0
23800680	1	0	0
23802768	1	0	0
23806793	1	0	0
23812671	1	0	0
23816960	1	0	1
23816963	0	0	1
23817572	1	0	0
23826550	1	0	0
23828442	1	0	0
23828865	1	0	0
23832011	1	0	0
23835704	1	0	0
23835706	1	0	0
