gene	direction	cytoband	disease	context	oncotree_term	oncotree_code	therapy_name	therapy_strategy	therapy_type	therapy_sensitivity	therapy_resistance	favorable_prognosis	predictive_implication	description	preferred_assertion	source_type	citation	url	doi	pmid	nct	last_updated
BRCA2	Deletion		Prostate Cancer		Prostate Adenocarcinoma	PRAD	Olaparib	PARP inhibition	Targeted therapy	1			Clinical trial	"Patients with chemotherapy-refractory prostate cancer have higher response rates to PARP inhibitor therapy in the presence of DNA repair mutations, particularly concomittant with platinum-sensitive disease. Platinum-resistant disease partially abrogates olaparib sensitvity in the setting of BRCA1 and BRCA2 mutations."		Journal	"Mateo J, Carreira S, Sandhu S, et al. DNA-Repair Defects and Olaparib in Metastatic Prostate Cancer. N Engl J Med. 2015;373(18):1697-708."	https://doi.org/10.1056/NEJMoa1506859	10.1056/NEJMoa1506859	26510020	NCT01682772	11/3/17
CCND1	Amplification	11p13	Invasive Breast Carcinoma		Invasive Breast Carcinoma	BRCA						0	Clinical evidence	CCND1 amplification showed reduced recurrence-free survival in a randomized control trial of postmenopausal breast cancer patients.		Journal	"Bostner, Josefine, et al. ""Amplification of CCND1 and PAK1 as predictors of recurrence and tamoxifen resistance in postmenopausal breast cancer."" Oncogene 26.49 (2007): 6997-7005."	https://doi.org/10.1038/sj.onc.1210506	10.1038/sj.onc.1210506	7486065		11/3/17
CCND1	Amplification		Pancreatic Cancer		Pancreatic Adenocarcinoma	PAAD	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Inferential	"CCND1 amplification was observed in a study of 109 microdissected pancreatic adenocarcinoma tumors, and is predicted to have antitumor effects in response to palbociclib."		Journal	"Witkiewicz AK, Mcmillan EA, Balaji U, et al. Whole-exome sequencing of pancreatic cancer defines genetic diversity and therapeutic targets. Nat Commun. 2015;6:6744."	https://doi.org/10.1038/ncomms7744	10.1038/ncomms7744	25855536		11/3/17
CCNE1	Amplification	19q12	Ovarian Cancer		"Ovarian Cancer, Other"	OOVC	Bortezomib	Proteasome inhibition	Targeted therapy	1			Preclinical	Sensitivity to Bortezomib was observed in ovarian cancer cell lines.		Journal	"Etemadmoghadam, Dariush, et al. ""Synthetic lethality between CCNE1 amplification and loss of BRCA1."" Proceedings of the National Academy of Sciences 110.48 (2013): 19489-19494."	https://doi.org/10.1073/pnas.1314302110	10.1073/pnas.1314302110	24218601		11/3/17
CD274	Amplification		Non-Small Cell Lung Cancer		Non-Small Cell Lung Cancer	NSCLC	Pembrolizumab	PD-1/PD-L1 inhibition	Immunotherapy	1			Inferential	PD-L1 expression in at least 50% of tumor cells correlated with improved efficacy of pembrolizumab in a trial of 495 patients with non-small cell lung cancer. 		Journal	"Garon EB, Rizvi NA, Hui R, et al. Pembrolizumab for the treatment of non-small-cell lung cancer. N Engl J Med. 2015;372(21):2018-28."	https://doi.org/10.1056/NEJMoa1501824	10.1056/NEJMoa1501824	25891174	NCT01295827	11/4/19
CD274	Amplification		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Atezolizumab	PD-1/PD-L1 inhibition	Immunotherapy	1			Inferential	"The U.S. Food and Drug Administration (FDA) approved atezolizumab for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 staining >= 50% of tumor cells) or PD-L1 stained tumor-infiltrating immune cells covering >= 10% of the tumor area, with no EGFR or ALK genomic tumor aberrations."		FDA	"Genentech, Inc. Tecentriq (atezolizumab) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761034s029lbl.pdf. Revised September 2020. Accessed October 22, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761034s029lbl.pdf				11/12/20
CD274	Amplification		Triple Negative Breast Cancer	Locally recurrent or metastatic triple-negative	Invasive Breast Carcinoma	BRCA	Chemotherapy + Pembrolizumab	Chemotherapy + PD-1/PD-L1 inhibition	Combination therapy	1			Inferential	The U.S. Food and Drug Administration granted accelerated approval to pembrolizumab in combination with chemotherapy for the treatment of patients with locally recurrent unresectable or metastatic triple-negative breast cancer (TNBC) whose tumors express PD-L1 (CPS>=10) as determined by an FDA approved test. 		FDA	"Merck Sharp & Dohme Corp. Keytruda (pembrolizumab) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125514s085lbl.pdf. Revised October 2020. Accessed November 4, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125514s088lbl.pdf?utm_source=Salesforce%20Marketing%20Cloud&utm_medium=Email&utm_campaign=				11/19/20
CDK4	Amplification		Well-differentiated liposarcoma		Well-Differentiated Liposarcoma	WDLS	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Guideline	CDK4 amplification is characteristic of well-differentiated and dedifferentiated liposarcomas. Palbociclib shows activity in this context.		Guideline	"National Comprehensive Cancer Network. Soft Tissue Sarcoma NCCN Evidence Blocks (Version 1.2021). Accessed November 19th, 2019."	https://www.nccn.org/professionals/physician_gls/pdf/sarcoma_blocks.pdf				11/19/20
CDK4	Amplification		Dedifferentiated lipsarcoma		Dedifferentiated Lipsarcoma	DDLS	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Guideline	CDK4 amplification is characteristic of well-differentiated and dedifferentiated liposarcomas. Palbociclib shows activity in this context.		Guideline	"National Comprehensive Cancer Network. Soft Tissue Sarcoma NCCN Evidence Blocks (Version 1.2021). Accessed November 19th, 2019."	https://www.nccn.org/professionals/physician_gls/pdf/sarcoma_blocks.pdf				11/19/20
CDK4	Amplification		Liposarcoma		Liposarcoma	LIPO	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Clinical trial	Treatment with CDK4 inhibitor PD033299 showed favorable progression free survival for patients with CDK4 amplification.		Journal	"Dickson, Mark A., et al. ""Phase II trial of the CDK4 inhibitor PD0332991 in patients with advanced CDK4-amplified well-differentiated or dedifferentiated liposarcoma."" Journal of clinical oncology 31.16 (2013): 2024-2028."	https://doi.org/10.1200/JCO.2012.46.5476	10.1200/JCO.2012.46.5476	23569312	NCT01209598	1/29/19
CDK4	Amplification		Pancreatic Cancer		Pancreatic Adenocarcinoma	PAAD	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Inferential	"CDK4 amplification was observed in a study of 109 microdissected pancreatic adenocarcinoma tumors, and is predicted to have antitumor effects in response to palbociclib."		Journal	"Witkiewicz AK, Mcmillan EA, Balaji U, et al. Whole-exome sequencing of pancreatic cancer defines genetic diversity and therapeutic targets. Nat Commun. 2015;6:6744."	https://doi.org/10.1038/ncomms7744	10.1038/ncomms7744	25855536		9/14/18
CDKN2A	Deletion						EPZ015666	PRMT5 inhibition	Targeted therapy	1			Preclinical	"These deletions are typically codeleted with MTAP, which has enhanced dependency on PRMT5 for which there is an inhibitor in clincial development"		Journal	"Kryukov GV, Wilson FH, Ruth JR, et al. MTAP deletion confers enhanced dependency on the PRMT5 arginine methyltransferase in cancer cells. Science. 2016;351(6278):1214-8."	https://doi.org/10.1126/science.aad5214	10.1126/science.aad5214	26912360		2/4/19
CDKN2A	Deletion		Pancreatic Cancer		Pancreatic Adenocarcinoma	PAAD	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Inferential	"CDKN2A loss was observed in a study of 109 microdissected pancreatic adenocarcinoma tumors, and is predicted to have antitumor effects in response to palbociclib."		Journal	"Witkiewicz AK, Mcmillan EA, Balaji U, et al. Whole-exome sequencing of pancreatic cancer defines genetic diversity and therapeutic targets. Nat Commun. 2015;6:6744."	https://doi.org/10.1038/ncomms7744	10.1038/ncomms7744	25855536		11/3/17
CDKN2C	Deletion	1p32.3	Multiple Myeloma		Multiple Myeloma	MM						0	Clinical evidence	"Either hemizygous or homozygous CDKN2C loss, identified by FISH, resulted in worse overall survival relative to wild type in a study of 515 multiple myeloma patients."		Journal	"Leone, Paola E., et al. ""Deletions of CDKN2C in multiple myeloma: biological and clinical implications."" Clinical Cancer Research 14.19 (2008): 6033-6041."	https://doi.org/10.1158/1078-0432.CCR-08-0347	10.1158/1078-0432.CCR-08-0347	18829482		11/3/17
CDKN2C	Deletion	1p	Multiple Myeloma		Multiple Myeloma	MM	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Inferential	Palbociclib is predicted to have antitumor effects in multiple myeloma patients with del(1p) resulting in loss of CDKN2C.		Journal	"Manier S, Salem KZ, Park J, Landau DA, Getz G, Ghobrial IM. Genomic complexity of multiple myeloma and its clinical implications. Nat Rev Clin Oncol. 2017;14(2):100-113."	https://doi.org/10.1038/nrclinonc.2016.122	10.1038/nrclinonc.2016.122	27531699		11/3/17
CRKL	Amplification	22q11.21	Non-Small Cell Lung Cancer		Non-Small Cell Lung Cancer	NSCLC	Gefitinib	EGFR inhibition	Targeted therapy		1		Clinical evidence	CRKL amplification was observed in an EGFR inhibitor resistant tumor after researchers observed that cells from gefitinib-sensitive cell line (HCC827) overexpressing CRKL became resistant to gefitinib relative to controls.		Journal	"Cheung HW, Du J, Boehm JS, et al. Amplification of CRKL induces transformation and epidermal growth factor receptor inhibitor resistance in human non-small cell lung cancers. Cancer Discov. 2011;1(7):608-25."	https://doi.org/10.1158/2159-8290.CD-11-0046	10.1158/2159-8290.CD-11-0046	22586683		11/3/17
EGFR	Amplification		Non-Small Cell Lung Cancer		Non-Small Cell Lung Cancer	NSCLC	Gefitinib	EGFR inhibition	Targeted therapy	1			Clinical evidence	Amplification and mutation of EGFR was associated with better clinical outcomes in a trial of 66 non-small cell lung cancer patients who had experienced relapse after surgery.		Journal	"Takano T, Ohe Y, Sakamoto H, et al. Epidermal growth factor receptor gene mutations and increased copy numbers predict gefitinib sensitivity in patients with recurrent non-small-cell lung cancer. J Clin Oncol. 2005;23(28):6829-37."	https://doi.org/10.1200/JCO.2005.01.0793	10.1200/JCO.2005.01.0793	15998907		11/3/17
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA	Lapatinib + Trastuzumab	ER signaling inhibition + EGFR inhibition	Targeted therapy	1			Clinical trial	"The combination of lapatinib with trastuzumab provided a statistically significant improvement in PFS compared with single-agent lapatinib when tested for erbb2 positive breast cancer patients, both primary and metastatic."		Journal	"Blackwell, Kimberly L., et al. ""Randomized study of Lapatinib alone or in combination with trastuzumab in women with ErbB2-positive, trastuzumab-refractory metastatic breast cancer."" Journal of Clinical Oncology 28.7 (2010): 1124-1130."	https://doi.org/10.1200/JCO.2008.21.4437	10.1200/JCO.2008.21.4437	20124187	NCT00320385	11/3/17
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA	Ado-Trastuzumab Emtansine	ER signaling inhibition	Hormone therapy	1			FDA-Approved	"HER2-targeted antibody and microtubule inhibitor conjugate indicated, as a single agent, for the treatment of patients with HER2-positive, metastatic breast cancer who previously received trastuzumab and a taxane, separately or in combination. Patients should have either: (1) Received prior therapy for metastatic disease, or (2) Developed disease recurrence during or within six months of completing adjuvant therapy."		FDA	"Genentech, Inc. Kadcyla (ado-trastuzumab emtansine) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125427s108lbl.pdf. Revised September 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125427s108lbl.pdf				11/12/20
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA	Lapatinib	ER signaling inhibition + EGFR inhibition	Targeted therapy	1			FDA-Approved	"Lapatinib is a kinase inhibitor indicated in combination with: (1) capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress human epidermal growth factor receptor 2 (HER2) and who have received prior therapy including an anthracycline, a taxane, and trastuzumab. Limitations of Use: Patients should have disease progression on trastuzumab prior to initiation of treatment with lapatinib in combination with capecitabine. (2) letrozole for the treatment of postmenopausal women with hormone receptorpositive metastatic breast cancer that overexpresses the HER2 receptor for whom hormonal therapy is indicated."		FDA	"Novartis Pharmaceuticals Corporation. Tykerb (lapatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022059s024lbl.pdf. Revised December 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022059s024lbl.pdf				11/12/20
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA	Lapatinib + Trastuzumab	ER signaling inhibition + EGFR inhibition	Targeted therapy	1			FDA-Approved	"Lapatinib is a kinase inhibitor indicated in combination with: (1) capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress human epidermal growth factor receptor 2 (HER2) and who have received prior therapy including an anthracycline, a taxane, and trastuzumab. Limitations of Use: Patients should have disease progression on trastuzumab prior to initiation of treatment with lapatinib in combination with capecitabine. (2) letrozole for the treatment of postmenopausal women with hormone receptorpositive metastatic breast cancer that overexpresses the HER2 receptor for whom hormonal therapy is indicated."		FDA	"Novartis Pharmaceuticals Corporation. Tykerb (lapatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022059s024lbl.pdf. Revised December 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022059s024lbl.pdf				11/12/20
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA	Neratinib	ER signaling inhibition	Targeted therapy	1			FDA-Approved	"Neratinib is indicated for extended adjuvant treatment of adult patients with early stage HER2-overexpressed/amplified breast cancer, following adjuvant trastuzumab-based therapy"		FDA	"Pfizer, Inc. Lorbrena (lorlatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/210868s001lbl.pdf. Revised May 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/210868s001lbl.pdf				11/12/20
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA	Pertuzumab + Trastuzumab	ER signaling inhibition	Combination therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) granted accelerated approval to pertuzumab for use in combination with trastuzumab and docetaxel for treatment of patients with HER2-positive metastatic breast cancer (MBC) who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease and use in combination with trastuzumab and chemotherapy as: (1) neoadjuvant treatment of patients with HER2-positive, locally advanced, inflammatory, or early stage breast cancer (either greater than 2 cm in diameter or node positive) as part of a complete treatment regimen for early breast cancer. (2) adjuvant treatment of patients with HER2-positive early breast cancer at high risk of recurrence"		FDA	"Genentech, Inc. Perjeta (pertuzumab) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125409s124lbl.pdf. Revised January 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125409s124lbl.pdf				11/12/20
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA	Trastuzumab	ER signaling inhibition	Targeted therapy	1			FDA-Approved	Indicated for the adjuvant treatment of HER2-overexpressing breast cancer		FDA	"Genentech, Inc. Herceptin (trastuzumab) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103792s5345lbl.pdf. Revised November 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103792s5345lbl.pdf				11/12/20
ERBB2	Amplification		Esophagogastric Cancer	"Metastatic, in combintation with cisplatin and capecitabine or 5-FU"	Gastric Adenocarcinoma	STAD	Trastuzumab	ER signaling inhibition	Targeted therapy	1			FDA-Approved	"Trastuzumab, in combination with cisplatin and capecitabine or 5-fluorouracil, is indicated for the initial treatment of human epidermal growth factor receptor 2 (HER2) overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma"		FDA	"Genentech, Inc. Herceptin (trastuzumab) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103792s5345lbl.pdf. Revised November 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103792s5345lbl.pdf				11/12/20
ERBB2	Amplification		Esophagogastric Cancer	Metastatic	GEJ Adenocarcinoma	GEJ	Trastuzumab	ER signaling inhibition	Targeted therapy	1			FDA-Approved	"Trastuzumab, in combination with cisplatin and capecitabine or 5-fluorouracil, is indicated for the initial treatment of human epidermal growth factor receptor 2 (HER2) overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma"		FDA	"Genentech, Inc. Herceptin (trastuzumab) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103792s5345lbl.pdf. Revised November 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103792s5345lbl.pdf				11/12/20
ERBB2	Amplification		Gastric Cancer	Metastatic	Gastric Remnant Adenocarcinoma	GRC	Chemotherapy + Trastuzumab	Chemotherapy + ER signaling inhibition	Combination therapy	1			Inferential	Patients with HER2 overexpression or amplification showed significant improvement in median overall survival with the addition of trastuzumab to chemotherapy compared to chemotherapy alone. This benefit is limited to patients with a tumor score of IHC 3 + or IHC 2 + and FISH positive.		Guideline	"National Comprehensive Cancer Network. Gastric Cancer NCCN Evidence Blocks (Version 3.2016). https://www.nccn.org/professionals/physician_gls/pdf/gastric_blocks.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/gastric_blocks.pdf		20728210	NCT01041404	11/3/17
ERBB2	Amplification		Breast Cancer	Advanced unresectable or metastatic	Invasive Breast Carcinoma	BRCA	Capecitabine + Trastuzumab + Tucatinib	Thymidylate synthase inhibition + ER signaling inhibition	Combination therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) granted regular approval for tucatinib, a kinase inhibitor indicated in combination with chemotherapy (trastuzumab and capecitabine) for treatment of adult patients with advanced unresectable or metastatic HER2-positive breast cancer, including patients with brain metastases, who have received one or more prior anti-HER2-based regimens in the metastatic setting. "		FDA	"Seattle Genetics, Inc. Tukysa (tucatinib) [package insert]. U.S. Food and Drug Administration website. www.accessdata.fda.gov/drugsatfda_docs/label/2020/213411s000lbl.pdf. Revised April 2020. Accessed October 15, 2020. "	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213411s000lbl.pdf				11/12/20
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA						0	Inferential	Overexpression and gene amplification of ErbB2 (HER2/neu) is an adverse prognostic indicator associated with aggressive histopathologic parameters and correlated with decreased disease-free survival and overall survival (OS) in breast cancer (BC).		Journal	"F Revillion, J Bonneterre, JP Peyrat: ERBB2 oncogene in human breast cancer and its clinical significance Eur J Cancer 34: 791"	https://doi.org/10.1016/S0959-8049(97)10157-5	10.1016/S0959-8049(97)10157-5	9797688		11/3/17
ERBB2	Amplification		Breast Cancer		Invasive Breast Carcinoma	BRCA	Radiation therapy	Radiation	Radiation therapy		1		Preclinical	"Breast cancer cells with HER2 amplification demonstrate radiation resistance, which can be reversed with trastuzumab."		Journal	"Liang K, Lu Y, Jin W, Ang KK, Milas L, Fan Z. Sensitization of breast cancer cells to radiation by trastuzumab. Molecular cancer therapeutics. 2003; 2(11):1113-20. "	https://mct.aacrjournals.org/content/2/11/1113.long		14617784		8/9/19
ERBB2	Amplification		Breast Cancer	"Locally advanced, inflammatory, or early stage"	Invasive Breast Carcinoma	BRCA	Chemotherapy + Hyaluronidase-zzxf + Pertuzumab + Trastuzumab	Chemotherapy + ER signaling inhibition	Combination therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) approved a new fixed-dose combination of pertuzumab, trastuzumab, and hyaluronidase-zzxf for subcutaneous injection in combination with chemotherapy for the following indications: neoadjuvant treatment for patients with HER2-positive, locally advanced, inflammatory, or early stage breast cancer (either greater than 2 cm in diameter or node positive) as part of a complete treatment regimen for early breast cancer; adjuvant treatment for patients with HER2-positive early breast cancer at high risk of recurrence."		FDA	"Genentech, Inc. Phesgo (pertuzumab, trastuzumab, and hyaluronidase-zzxf) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761170s000lbl.pdf. Revised June 2020. Accessed November 4, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761170s000lbl.pdf				11/12/20
ERBB2	Amplification		Breast Cancer	Metastatic	Metastatic Breast Cancer	MBC	Docetaxel + Hyaluronidase-zzxf + Pertuzumab + Trastuzumab	Taxane-based chemotherapy + ER signaling inhibition	Combination therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) approved a new fixed-dose combination of pertuzumab, trastuzumab, and hyaluronidase-zzxf for subcutaneous injection in combination with docetaxel for treatment of patients with HER-2 positive metastatic breast cancer (MBC) who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease."		FDA	"Genentech, Inc. Phesgo (pertuzumab, trastuzumab, and hyaluronidase-zzxf) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761170s000lbl.pdf. Revised June 2020. Accessed November 4, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761170s000lbl.pdf				11/12/20
ERBB2	Amplification		Breast Cancer		Metastatic Breast Cancer	MBC	Margetuximab-cmkb + Chemotherapy	ER signaling inhibition + Chemotherapy	Combination therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) approved margetuximab-cmkb in combination with chemotherapy, for the treatment of adult patients with metastatic HER2-positive breast cancer who have received two or more prior anti-HER2 regimens, at least one of which was for metastatic disease."		FDA	"MacroGenics, Inc. Margenzat (margetuximab-cmkb) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761150s000lbl.pdf. Revised December 2020. Accessed February 2, 2021."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761150s000lbl.pdf				2/2/21
